1,Madrid Inicio,40.416965, -3.704004,1,madridaudio1
2,Castillo de Sesena,40.105879,-3.706839,4,coliseo
3,Parque de Sesena,40.106843, -3.703029,4,coliseo
4,Sesena,40.110105, -3.695198,4,coliseo
5,Sesena Quiñon,40.123395, -3.666884,4,coliseo
6,Cuenca,40.073420, -2.141490,3,coliseo
7,Cuenca 2,40.070865, -2.134449,3,coliseo
8,Madrid,40.420172, -3.707908,1,madridaudio1
9,Palacio Real Madrid,40.418366, -3.713181,1,madridaudio2
